"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"428","T",42000,5642,47642,3000,50642,2004
"429","E",1900,450,2350,800,3150,2004
"430","E",6800,86600,93400,800,94200,2004
"431","EXPN",100,8500,8600,0,8600,2004
"432","E",76000,0,76000,3300,79300,2004
"433","E",7000,11500,18500,800,19300,2004
"434","E",155000,38487,193487,24100,217587,2004
"435","E",17900,9232,27132,0,27132,2004
"436","E",500,7000,7500,0,7500,2004
"437","E",43700,0,43700,1500,45200,2004
"438","EXPN",5500,0,5500,0,5500,2004
"439","E",0,0,0,3000,3000,2004
"440","E",26500,0,26500,3000,29500,2004
"441","E",51500,7720,59220,0,59220,2004
"442","E",87200,83600,170800,4800,175600,2004
"443","E",33700,450,34150,800,34950,2004
"444","E",3600,7500,11100,0,11100,2004
"445","E",17200,28450,45650,0,45650,2004
"446","E",51200,59680,110880,4100,114980,2004
"447","T",23500,23600,47100,1400,48500,2004
"448","E",71700,46000,117700,4700,122400,2004
"449","E",57500,7720,65220,0,65220,2004
"450","E",4000,0,4000,1100,5100,2004
"451","E",10000,18500,28500,1500,30000,2004
"452","E",51200,48310,99510,3100,102610,2004
"453","E",46500,30123,76623,7500,84123,2004
"454","E",72000,100600,172600,0,172600,2004
"455","T",55500,3120,58620,0,58620,2004
"456","E",4000,8882,12882,5000,17882,2004
"457","E",26000,468,26468,19100,45568,2004
"458","E",100,4000,4100,3000,7100,2004
"459","E",40000,49720,89720,0,89720,2004
"460","E",600,4000,4600,0,4600,2004
"461","E",35500,75522,111022,47151,158173,2004
"462","E",0,1e+05,1e+05,0,1e+05,2004
"463","E",1568,122353,123921,12000,135921,2004
"464","E",72200,30000,102200,17000,119200,2004
"465","T",700,0,700,0,NA,2004
"466","E",25108,1620,26728,0,26728,2004
"467","E",13700,0,13700,0,13700,2004
"468","E",1100,400,1500,0,1500,2004
"469","E",13000,0,13000,0,13000,2004
"470","E",3300,3000,6300,0,6300,2004
"471","T",2400,0,2400,0,2400,2004
"472","E",2200,0,2200,0,2200,2004
"473","T",15000,0,15000,0,15000,2004
"474","T",6100,0,6100,0,6100,2004
"475","E",700,0,700,0,NA,2004
"476","T",129151,51620,180771,0,180771,2004
"477","T",65500,200,65700,2000,67700,2004
"478","T",6000,0,6000,2200,8200,2004
"479","E",42500,0,42500,5100,47600,2004
"480","E",198652,500,199152,1000,200152,2004
"481","T",11778,0,11778,0,11778,2004
"482","T",800,0,800,0,NA,2004
"483","T",7400,0,7400,0,7400,2004
"484","E",91173,30420,121593,0,121593,2004
"485","T",9000,0,9000,0,9000,2004
"486","E",16200,0,16200,0,16200,2004
"487","E",103095,378669,481764,0,481764,2004
"488","E",2000,0,2000,0,2000,2004
"489","E",88739,524793,613532,0,613532,2004
"490","E",0,2000,2000,1200,3200,2004
"491","E",14296,7072,21368,3000,24368,2004
"492","E",115545,25872,141417,0,141417,2004
"493","E",0,0,0,100,NA,2004
"494","E",237590,193969,431559,16900,448459,2004
"495","E",6000,1280,7280,0,7280,2004
"496","E",10000,320,10320,0,10320,2004
"497","E",10000,3750,13750,0,13750,2004
"498","T",2374,0,2374,0,2374,2004
"499","E",10000,320,10320,0,10320,2004
"500","E",26800,5000,31800,0,31800,2004
"501","E",10000,320,10320,500,10820,2004
"502","E",31740,0,31740,0,31740,2004
"503","E",13000,320,13320,500,13820,2004
"504","T",131768,1376465,1508233,5000,1513233,2004
